header:
  market_start_ts: 1783385400 (2026-07-07 00:50:00 UTC)
  market_end_ts: 1783385700 (2026-07-07 00:55:00 UTC)
  price_to_beat: 64115.73
  outcome: Up
  final_chainlink: 64215.7
  tick_count: 300
  fee_rate: 0.07

data:
sec   time  quote      delta        gain%             btc
---------------------------------------------------------
300   5:00  ----  50c    -2$  gain= 89.6%  btc=  64113.88
299   4:59  DOWN  56c    -2$  gain= 73.2%  btc=  64113.81
298   4:58  DOWN  53c     0$  gain= 79.4%  btc=  64115.73
297   4:57  DOWN  51c    +1$  gain= 86.1%  btc=  64116.79
296   4:56  DOWN  53c    +2$  gain= 78.1%  btc=  64117.29
295   4:55  DOWN  53c    +2$  gain= 79.4%  btc=  64117.35
294   4:54  DOWN  53c     0$  gain= 79.4%  btc=  64115.62
293   4:53  DOWN  53c    -1$  gain= 79.4%  btc=  64115.18
292   4:52  DOWN  55c    -1$  gain= 76.3%  btc=  64115.18
291   4:51  DOWN  55c    -1$  gain= 76.3%  btc=  64114.96
290   4:50  DOWN  55c    -2$  gain= 76.3%  btc=  64113.96
289   4:49  DOWN  55c    -2$  gain= 76.3%  btc=  64114.07
288   4:48  DOWN  55c    -2$  gain= 76.3%  btc=  64113.88
287   4:47  DOWN  55c    -2$  gain= 76.3%  btc=  64113.88
286   4:46  DOWN  55c    -2$  gain= 76.3%  btc=  64113.70
285   4:45  DOWN  55c    -2$  gain= 76.3%  btc=  64113.60
284   4:44  DOWN  55c    -2$  gain= 76.3%  btc=  64113.64
283   4:43  DOWN  55c    -2$  gain= 74.3%  btc=  64113.64
282   4:42  DOWN  55c    -2$  gain= 74.0%  btc=  64113.52
281   4:41  DOWN  55c    -2$  gain= 76.3%  btc=  64113.40
280   4:40  DOWN  56c    -2$  gain= 73.2%  btc=  64113.41
279   4:39  DOWN  56c    -3$  gain= 73.2%  btc=  64112.89
278   4:38  DOWN  56c    -3$  gain= 73.2%  btc=  64112.46
277   4:37  DOWN  56c    -3$  gain= 69.1%  btc=  64112.56
276   4:36  DOWN  58c    -3$  gain= 64.8%  btc=  64112.56
275   4:35  DOWN  58c    -3$  gain= 64.8%  btc=  64112.56
274   4:34  DOWN  62c    -9$  gain= 52.9%  btc=  64106.29
273   4:33  DOWN  64c   -20$  gain= 49.6%  btc=  64096.04
272   4:32  DOWN  64c   -20$  gain= 49.2%  btc=  64095.47
